<OOV> 1.0	OOV
ڈیوچ 1.0	DD I J UU T_SH
ربانی 1.0	R A B AA N II
چھنوصفر 1.0	T_SH A N OO S A F A R
قبائلیوں 1.0	Q A B AA I L II OON
بادشاہت 1.0	B AA D_D SH AA H A T_D
دارالعوام 1.0	D_D AA R U L A V AA M
پرامید 1.0	P A R AA M II D_D
چانسلر 1.0	T_SH AA N S L A R
نائجیرین 1.0	N AA I D_ZZ AY R I J A N
وغریب 1.0	V A 7 R II B
عالموں 1.0	AA L I M OON
ابورٹ 1.0	A B OO R TT
پشاور 1.0	P I SH AA V A R
ادے 1.0	I D_D D_D AY
دمام 1.0	D_D A M M AA M
خمیازہ 1.0	X A M J AA Z AA
پہلاج 1.0	P A_E_H H L AA D_ZZ
ناساز 1.0	N AA S AA Z
لقمہ 1.0	L U Q M AA
بادشاہو 1.0	B AA D_D SH AA H OO
انڈرویئر 1.0	A N DD A R V II A R
ڈیزائینر 1.0	DD II Z AA II N A R
نواح 1.0	N A V V AA
نائی 1.0	N AA II
ڈیوی 1.0	DD AY V II
راچل 1.0	R AA T_SH A L
انجنیئرنگ 1.0	I N D_ZZ I N II A R I NG
یوگینڈا 1.0	J UU G AE N DD AA
وزری 1.0	V A Z R II
چوپایوں 1.0	T_SH O P AA J OON
پھنسا 1.0	P_H A N S AA
ٹاکساکولوجی 1.0	TT AA K AA K OO L OO D_ZZ II
سٹوفین 1.0	S A TT OO F AE N
مدوجزر 1.0	M A D_D D_D OO D_ZZ A R
انکشافات 1.0	I N K I SH AA F AA T_D
گائس 1.0	G AA I S
لیک 1.0	L AY K
بھگون 1.0	B_H A G UU N
ذہین 1.0	Z A H II N
مصوری 1.0	M U S UU R II
یادداشت 1.0	J AA D_D D_D AA SH T_D
بینڈ 1.0	B AE N DD
کوسٹ 1.0	K OO S TT
حلقوں 1.0	H A L Q OON
بیریئم 1.0	B AE R II A M
پرتپاک 1.0	P A R T_D A P AA K
نسلوں 1.0	N A S L OON
دبلی 1.0	D_D U B L II
ترجیحی 1.0	T_D A R D_ZZ II H II
گٹریس 1.0	G A TT R AE S
چھدو 1.0	T_SH A D_D D_D OO
پرما 1.0	P U R M AA
حادثوں 1.0	H AA D_D I S OON
مظاہروں 1.0	M U Z AA H A R OON
راوت 1.0	R AA V A T_D
غلطی 1.0	7 A L T_D II
رقبہ 1.0	R A Q B AA
چیلینجز 1.0	T_SH AE L AE N D_ZZ I Z
تینچارچارنو 1.0	T_D AY N T_SH AA R T_SH AA R N OO
گولیاں 1.0	G OO L I J AAN
جدیدیانے 1.0	D_ZZ A D_D AY D_D J AA N AY
صافحیوں 1.0	S AA F I H II OON
بینگ 1.0	B AE NG
ناانصافی 1.0	N AA I N S AA F II
بلاشبہ 1.0	B A L AA SH A B AA
تنائج 1.0	T_D A N AA I D_ZZ
کرثکے 1.0	K U R I S K AY
شانگلہ 1.0	SH AA NG L AA
کارکاردگی 1.0	K AA R K A R D_D A G II
ٹرانسپورٹروں 1.0	TT A R AA N S P OO R TT A R OON
کرنےمیں 1.0	K A R N AY M AYN
بددیانتی 1.0	B A D_D D_D I J AA N T_D II
تینچالیس 1.0	T_D AEN T_SH AA L II S
بلاتاسف 1.0	B I L AA T_D AA S I F
رسرچرز 1.0	R A S A R T_SH A R Z
کارنامہ 1.0	K AA R N AA M AA
اجزاء 1.0	I D_ZZ Z AA
بنوائے 1.0	B A N V AA AY
برفبار 1.0	B A R F A B AA R
پولینڈ 1.0	P OO L AE N DD
مسیحی 1.0	M A S II H II
نریندر 1.0	N A R AY N D_D A R
پرمٹ 1.0	P I R M I TT
انتشار 1.0	I N T_D I SH AA R
رویئٹرز 1.0	R UU II TT A R Z
ہجومیت 1.0	H U D_ZZ UU M I J J A T_D
سگار 1.0	S I G AA R
وں 1.0	UUN
حمکت 1.0	H A M K A T_D
سمندری 1.0	S A M A N D_D A R II
پرتگال 1.0	P U R T_D A G AA L
مسعود 1.0	M A S UU D_D
دگنی 1.0	D_D U G N II
کرسکتی 1.0	K U R I S K A T_D II
بوسہ 1.0	B OO S AA
خیزی 1.0	X AE Z II
کرسکتے 1.0	K A R I S K A T_D AY
ناخنوں 1.0	N AA X A N OON
خلاد 1.0	X A L L AA D_D
پٹاری 1.0	P A TT AA R II
دوصفر 1.0	D_D OO S A F R
راون 1.0	R AA V A N
راوں 1.0	R AA OON
دگنا 1.0	D_D U G N AA
بابرکت 1.0	B AA B A R K A T_D
اندور 1.0	I N D_D UU R
گھیرا 1.0	G_H AY R AA
پڑتی 1.0	P A RR T_D II
لیہ 1.0	L I J J AA
پڑھنےکے 1.0	P A RR_H N AY K AY
وو 1.0	V OO
بھلے 1.0	B_H A L AY
بدعنوانی 1.0	B A D_D U N V AA N II
ہندوتوا 1.0	H I N D_D OO T_D V AA
ول 1.0	V A L
کرکٹنگ 1.0	K A R K I TT I NG
بلاتی 1.0	B U L AA T_D II
خائف 1.0	X AA I F
ظہیرعباس 1.0	Z A H AY R AY B AA S
لیڈران 1.0	L AE DD R AA N
چڑھائی 1.0	T_SH A RR_H AA II
فضلے 1.0	F A Z L AY
مسیحا 1.0	M A S II H AA
بائی 1.0	B AA II
ریئل 1.0	R II A L
دریسا 1.0	D_D A R AE S AA
چڑھائے 1.0	T_SH A RR_H AA AY
برہدھمان 1.0	B A R H D_D_H A M AA N
بینر 1.0	B AE N A R
سرکردہ 1.0	S A R K A R D_D AA
بینش 1.0	B AE N I SH
ایکنوساتآٹھ 1.0	AE K N OO S AA T_D AA TT_H
کےدرمیان 1.0	K AY D_D D_D A R M AA N
ریئس 1.0	R II A S
آزما 1.0	AA Z M AA
کانیں 1.0	K AA N AYN
منتحب 1.0	M U N T_D A H I B
انٹرٹینمنٹ 1.0	I N TT A R TT AY N M A N TT
سٹنگ 1.0	S A TT I NG
پیلٹ 1.0	P AE L A TT
نٹوسیمو 1.0	N I TT OO S II M OO
دبلا 1.0	D_D U B L AA
پیٹرن 1.0	P AE TT R A N
پیکجز 1.0	P AE K I D_ZZ I Z
میسور 1.0	M AE S UU R
الاسد 1.0	A L AA S I D_D
کارسیوکوں 1.0	K AA R S II OO K OON
ور 1.0	V A R
کوین 1.0	K UU J A N
معملات 1.0	M U A M M I L AA T_D
نےچھ 1.0	N AY T_SH
سندیپ 1.0	S A N D_D AY P
وج 1.0	V I D_ZZ
الترکی 1.0	A L T_D A R K II
برتتے 1.0	B A R A T_D T_D AY
وا 1.0	V AA
ختنہ 1.0	X A T_D N AA
پلوٹو 1.0	P A L OO TT I V
محمد 1.0	M U H A M M A D_D
کھلونے 1.0	K_H I L OO N AY
کرسکتا 1.0	K U R I S K A T_D AA
اترکھنڈ 1.0	A T_D A R K_H A N DD
المتعبی 1.0	A L M A T_D T_D A B II
پیٹرا 1.0	P AE TT R AA
مینا 1.0	M II N AA
فیکٹریاں 1.0	F AE K TT A R I J AAN
خیرپور 1.0	X AE R P UU R
برسلز 1.0	B A R S I L Z
دھاڑے 1.0	D_D_H AA RR AY
اوراق 1.0	O R AA Q
بلدیو 1.0	B A L D_D I J UU
مینز 1.0	M II N Z
اوران 1.0	O R AA N
گوندل 1.0	G OO N D_D I L
روسیوں 1.0	R UU S II OON
اقصر 1.0	A Q S A R
ڈورین 1.0	DD OO R II N
تصادموں 1.0	T_D A S AA D_D U M OON
سرگرم 1.0	S A R G A R A M
نانبائی 1.0	N AA M B AA II
قبضہ 1.0	Q A B Z AA
اعلامیہ 1.0	A L AA M I J AA
کریہ 1.0	K U R J AA
مورنی 1.0	M OO R N II
فرانزیکو 1.0	F A R AA N Z II K OO
مسیحیوں 1.0	M A S II H II OON
سنبھالنے 1.0	S A M B_H AA L N AY
افطاری 1.0	I F T_D AA R II
پچانوےایک 1.0	P A T_SH AA N V AY AY K
تلفی 1.0	T_D A L A F II
سٹیلائٹ 1.0	S A TT II L AA I TT
جولیو 1.0	D_ZZ OO L II V
ٹیگز 1.0	TT II G Z
چھکوں 1.0	T_SH A K K OON
بدلتیں 1.0	B A D_D A L T_D IIN
دلیری 1.0	D_D A L II R II
ستی 1.0	S A T_D T_D II
بوچڑ 1.0	B OO T_SH A RR
براڈکاسٹ 1.0	B A R AA DD K AA S TT
ڈریم 1.0	DD A R II M
روسٹرم 1.0	R UU S TT A R A M
دفترشاہی 1.0	D_D A F T_D A R SH AA H II
ایڈکشن 1.0	AE DD I K SH A N
دیوانوں 1.0	D_D II V AA N OON
ملاحظے 1.0	M U L AA H A Z AY
جاگو 1.0	D_ZZ AA G UU
فروٹ 1.0	F U R UU TT
اوراس 1.0	O R AA S
سپرنٹینڈنٹ 1.0	S A P A R N I TT AE N DD A N TT
کھینچ 1.0	K_H AE N T_SH
مینن 1.0	M II N A N
گزرنے 1.0	G U Z A R N AY
چوند 1.0	T_SH O N D_D
نندیتا 1.0	N A N D_D II T_D A N
جوتا 1.0	D_ZZ OO T_D AA
بوچھ 1.0	B UU T_SH
دکھاؤں 1.0	D_D I K_H AA UUN
حراستا 1.0	H I R AA S A T_D A N
لوٹیں 1.0	L OO TT AYN
آفتاب 1.0	AA F T_D AA B
گزرنا 1.0	G U Z A R N AA
لاحقے 1.0	L AA H I Q AY
مفتی 1.0	M U F T_D II
آسام 1.0	AA S AA M
رپورٹرز 1.0	R I P OO R TT A R Z
دیدی 1.0	D_D II D_D II
بھولنی 1.0	B_H UU L N II
چونے 1.0	T_SH UU N AY
دھدک 1.0	D_D_H U D_D A K
ابوٹانیوس 1.0	A B OO TT AA N II OO S
لاحقہ 1.0	L AA H I Q AA
نوسیوں 1.0	N O S II OON
تیرھویں 1.0	T_D AY R_H V AYN
اراکین 1.0	A R AA K II N
اورآگے 1.0	OO R AA G AY
یووا 1.0	J UU V AA
جرنلسٹ 1.0	D_ZZ A R N A L I S TT
جورڈن 1.0	D_ZZ O R DD A N
تیمارداری 1.0	T_D II M AA R D_D AA R II
بےآوازوں 1.0	B AY AA V AA Z OON
ستر 1.0	S A T_D T_D A R
شویگو 1.0	SH AE J I G UU
غمال 1.0	7 A M M AA L
ادھ 1.0	U D_D_H
نوشابہ 1.0	N OO SH AA B AA
سمجتھا 1.0	S A M A D_ZZ T_D_H AA
ویکسین 1.0	V AE K S II N
میانمار 1.0	M I J AA N M AA R
طالبابعلموں 1.0	T_D AA L I B AY B A L M OON
بروئے 1.0	B A R V I AY
لوئس 1.0	L OO I S
تعطیل 1.0	T_D A T_D II L
مسالے 1.0	M A S AA L AY
ڈربی 1.0	DD A R A B B II
فیسٹیول 1.0	F AE S TT II V A L
جناح 1.0	D_ZZ A N AA
ملائیں 1.0	M U L L AA AYN
جنات 1.0	D_ZZ A N AA T_D
ستو 1.0	S A T_D T_D UU
زبان 1.0	Z U B AA N
ماہر 1.0	M AA H I R
ستم 1.0	S U T_D A M
انویسٹی 1.0	I N V AE S TT II
منوایا 1.0	M A N V AA J AA
جماعتیں 1.0	D_ZZ A M AA A T_D AYN
گلیمرس 1.0	G A L II M A R S
گروپس 1.0	G U R UU P S
سوفٹ 1.0	S OO F TT
کلنگز 1.0	K I L I NG Z
آڈیٹوریم 1.0	AA DD II TT OO R II M
گلگت 1.0	G I L G A T_D
بےصبری 1.0	B AY S A B R II
فاطمی 1.0	F AA T_D M II
بٹھانا 1.0	B I TT_H AA N AA
بیرٹو 1.0	B AE R I TT I V
فاطمہ 1.0	F AA T_D M AA
چھلکتی 1.0	T_SH A L A K T_D II
آرس 1.0	AA R S
دھکیلنا 1.0	D_D_H A K AY L N AA
کومبز 1.0	K OO M B Z
چانسز 1.0	T_SH AA N S I Z
سکیاپریلی 1.0	S A K J AA P R AY L II
تڑپنے 1.0	T_D A RR A P N AY
پروان 1.0	P A R V AA N
ہاتھی 1.0	H AA T_D_H II
منبی 1.0	M A M B II
جاننا 1.0	D_ZZ AA N N AA
سکنے 1.0	S I K N AY
اینگلا 1.0	AE NG L AA
کاریاں 1.0	K AA R I J AAN
الحسن 1.0	A L H A S A N
حراست 1.0	H I R AA S A T_D
منبہ 1.0	M A M B AA
خلفشار 1.0	X A L F I SH AA R
راست 1.0	R AA S T_D
کونسلرز 1.0	K O N S L A R Z
ڈیلپلیکش 1.0	DD II L A P L AE K I SH
ایکس 1.0	AE K S
شعبے 1.0	SH OO B AY
بھولنے 1.0	B_H UU L N AY
کاقرض 1.0	K AA Q A R Z
ایپیسوڈ 1.0	AY P II S UU DD
بازئی 1.0	B AA Z I II
مسالہ 1.0	M A S AA L AA
تورانی 1.0	T_D OO R AA N II
سینئیر 1.0	S II N I J A R
موڑنے 1.0	M OO RR N AY
الہند 1.0	A L H A N D_D
جائزے 1.0	D_ZZ AA I Z AY
البشیر 1.0	A L B A SH II R
دلہنیں 1.0	D_D U L H A N AYN
کینڈا 1.0	K AE N DD AA
بھڑکا 1.0	B_H A RR K AA
ایکنوساتتین 1.0	AE K N OO S AA T_D T_D II N
اپنےشائقین 1.0	I P N AY SH AA I Q II N
پبلسٹی 1.0	P A B L I S I TT II
قصاب 1.0	Q A S S AA B
شہدا 1.0	SH U H A D_D AA
ڈھلتی 1.0	DD_H A L T_D II
لیسٹر 1.0	L AY S TT A R
زوی 1.0	Z A V II
چھوئی 1.0	T_SH UU II
رومانیہ 1.0	R UU M AA N I J AA
لیجنڈز 1.0	L AE D_ZZ I N DD Z
مشران 1.0	M U SH R AA N
ٹرانسفارمرز 1.0	TT A R AA N S F AA R M A R Z
کمپاؤنڈز 1.0	K A M P A UU N DD Z
اوین 1.0	A V II N
ہاورڈ 1.0	H AA V A R DD
سموں 1.0	S A M OON
ہرمز 1.0	H A R M Z
مستی 1.0	M A S T_D II
گراوٹ 1.0	G I R AA V A TT
آٹھآٹھ 1.0	AA TT_H AA TT_H
بانٹی 1.0	B AA N TT II
ڈسکو 1.0	DD I S K OO
صلاحتیں 1.0	S A L AA H A T_D AYN
پائپ 1.0	P AA I P
بےاثر 1.0	B AY A S R
اعتدال 1.0	AY T_D AY D_D AA L
ونس 1.0	V I N S
سموگ 1.0	S A M OO G
مسئلے 1.0	M A S A L AY
پچھوں 1.0	P A T_SH T_SH OON
تاسو 1.0	T_D AA S UU
انگر 1.0	A NG G A R
بجھتی 1.0	B U D_ZZ_H T_D II
کیفیت 1.0	K AE F I J J A T_D
جوابدہ 1.0	D_ZZ A V AA B D_D AY
ٹانکوں 1.0	TT AA N K OON
پروری 1.0	P A R OO R II
ٹینکس 1.0	TT AE N K S
بانٹا 1.0	B AA N TT AA
بااعتماد 1.0	B AA AY T_D I M AA D_D
آسٹروناؤٹیکل 1.0	AA S TT A R OO N AA TT II K A L
جیتتے 1.0	D_ZZ II T_D T_D AY
ومبلڈن 1.0	V I B B A L DD A N
کینڈی 1.0	K AE N DD II
العساف 1.0	A L A S AA F
شہدہ 1.0	SH U H D_D AA
سلیو 1.0	S A L II V
منحصر 1.0	M U N H I S I R
ٹامسن 1.0	TT AA M S A N
کابل 1.0	K AA B A L
بھڑکے 1.0	B_H A RR K AY
ہلچل 1.0	H I L T_SH I L
وثرن 1.0	V A S R A N
سیٹیں 1.0	S II TT AYN
بلامعاوضہ 1.0	B I L AA M U AA V A Z AA
ورغلاکر 1.0	V A R 7 A L AA K A R
مہاراج 1.0	M A H AA R AA D_ZZ
راب 1.0	R AA B
پھسانے 1.0	P_H U S AA N AY
کونٹروورسی 1.0	K OO N TT A R OO R A S II
روینا 1.0	R A V II N AA
محرک 1.0	M U H A R R I K
دوایکدو 1.0	D_D A V II K D_D UU
مینڈیٹ 1.0	M AE N DD AY TT
اوپرا 1.0	OO P R AA
مرحا 1.0	M U R A H H AA
طاہر 1.0	T_D AA H I R
ساحر 1.0	S AA H I R
اسرائیل 1.0	I S R AA II L
ہاتھا 1.0	H AA T_D_H AA
سیکٹروں 1.0	S AE K TT A R OON
آسٹریلین 1.0	AA S TT A R II L I J A N
منبر 1.0	M A M B A R
محاوروں 1.0	M U H AA V A R OON
وینڈن 1.0	V AE N DD A N
سائیٹ 1.0	S AA II TT
سمانا 1.0	S A M AA N AA
دھکیلنے 1.0	D_D_H A K AY L N AY
کیرولائنا 1.0	K AE R OO L AA I N AA
تبھی 1.0	T_D A B_H II
اٹارنی 1.0	A TT AA R N II
فقیہہ 1.0	F A Q II H AA
حالت 1.0	H AA L A T_D
سلیپ 1.0	S A L II P
سخاوتوں 1.0	S A X AA V A T_D OON
چھترولی 1.0	T_SH A T_D R OO L II
کنوینر 1.0	K A N V II N A R
کتراتے 1.0	K A T_D R AA T_D AY
لیکس 1.0	L AE K S
دبانے 1.0	D_D A B AA N AY
لیکر 1.0	L II K A R
بیاہتا 1.0	B I J AA H T_D AA
تنگی 1.0	T_D A NG G II
قضیہ 1.0	Q A Z II J AA
رسوخ 1.0	R A S UU X
پھینکیں 1.0	P_H AEN K AYN
ایڈوائزر 1.0	AE DD V AA I Z A R
صیام 1.0	S I J AA M
ٹائیگر 1.0	TT AA II G A R
شہنشاہوں 1.0	SH A H A N SH AA H OON
اداکارانہ 1.0	A D_D AA K AA R AA N AA
پلانیشیا 1.0	P A L AA N AY SH I J AA
رجنی 1.0	R A D_ZZ N II
بنانی 1.0	B A N AA N II
کھینچنا 1.0	K_H AE N T_SH N AA
وزیراعظم 1.0	V A Z II R AY AA Z A M
ہریسہ 1.0	H A R II S AA
فلمی 1.0	F I L M II
تعد 1.0	T_D A A D_D
سنبل 1.0	S A M B A L
بریلی 1.0	B A R AY L II
اقتصادری 1.0	I Q T_D I S AA D_D I R II
دوآٹھ 1.0	D_D OO AA TT_H
کریٹ 1.0	K A R AE TT
ترجیحا 1.0	T_D A R D_ZZ II H A N
سرحی 1.0	S A R H II
ترانہ 1.0	T_D A R AA N AA
تہنیت 1.0	T_D A_E_H H N I J A T_D
فصلوں 1.0	F A S L OON
پیغمبرحضرت 1.0	P AE 7 B A R AY H A Z R A T_D
اودھر 1.0	UU D_D_H A R
بورڈرز 1.0	B OO R DD A R Z
تتربتر 1.0	T_D I T_D A R B A T_D T_D A R
استعفی 1.0	I S T_D I F AA
ریجنرز 1.0	R II D_ZZ A N A R Z
ترانے 1.0	T_D A R AA N AY
مختصرا 1.0	M U X T_D A S A R AA
سام 1.0	S AA M
اجازی 1.0	A D_ZZ AA Z II
سبکدوشی 1.0	S U B A K D_D OO SH II
ادارت 1.0	I D_D AA R A T_D
بروکیڈ 1.0	B A R UU K AE DD
سان 1.0	S AA N
فٹیج 1.0	F A TT II D_ZZ
راونڈر 1.0	R A UU N DD A R
بدستور 1.0	B A D_D A S T_D UU R
عقابوں 1.0	U Q AA B OON
بلاایندھن 1.0	B A L AA J A N D_D_H A N
کیمبرج 1.0	K AE M B A R I D_ZZ
ہینڈرسن 1.0	H AE N DD R I S A N
الانانی 1.0	A L AA N AA N II
الوطنی 1.0	A L UU T_D A N II
صنوبر 1.0	S A N UU B A R
ادارہ 1.0	I D_D AA R AA
ناجن 1.0	N AA D_ZZ A N
گچھ 1.0	G U T_SH
جاتے 1.0	D_ZZ AA T_D AY
تیرہ 1.0	T_D AE R AA
گوٹلہ 1.0	G OO TT L AA
مہنت 1.0	M O_O_H H N A T_D
ریکس 1.0	R AE K S
لاہور 1.0	L AA H UU R
بیشی 1.0	B AY SH II
زیاد 1.0	Z I J AA D_D
ٹکنالوجی 1.0	TT A K N AA L OO D_ZZ II
کوچھسات 1.0	K OO T_SH S AA T_D
طبیبوں 1.0	T_D A B II B OON
سمیٹیں 1.0	S A M AY TT AYN
ود 1.0	V I D_D
سواتی 1.0	S A V AA T_D II
تابوتوں 1.0	T_D AA B UU T_D OON
بلوائے 1.0	B A L V AA AY
افضال 1.0	I F Z AA L
گانا 1.0	G AA N AA
نوآٹھ 1.0	N OO AA TT_H
عباسی 1.0	A B B AA S II
گیارویں 1.0	G I J AA R V AYN
پڑھاتا 1.0	P A RR_H AA T_D AA
سرد 1.0	S A R D_D
نصابی 1.0	N I S AA B II
کرامہ 1.0	K A R AA M AA
ایکسپورٹ 1.0	AE K S P OO R TT
کمانے 1.0	K A M AA N AY
الٹرا 1.0	A L TT A R AA
جتاتا 1.0	D_ZZ I T_D AA T_D AA
صلاحتیوں 1.0	S A L AA H A T_D II OON
ہٹادیا 1.0	H A TT AA D_D I J AA
ایودھ 1.0	AY V D_D_H
برسات 1.0	B A R S AA T_D
راناوت 1.0	R AA N AA V A T_D
تھرپارکر 1.0	T_D_H A R A P AA R K A R
ڈپلومیٹس 1.0	DD I P L OO M AY TT S
آمنے 1.0	AA M N AY
جورجیا 1.0	D_ZZ OO R D_ZZ I J AA
کارنیگی 1.0	K AA R N II G II
خوبی 1.0	X UU B II
آفرمجھے 1.0	AA F R M U D_ZZ_H AY
ذبیحہ 1.0	Z A B II H AA
پرموشن 1.0	P A R M OO SH A N
لیویز 1.0	L II V II Z
گنور 1.0	G A N V A R
ملاقاتیوں 1.0	M U L AA Q AA T_D II OON
ذبیحے 1.0	Z A B II H AY
زکربرگ 1.0	Z A K R AY B A R A G
گنوا 1.0	G I N V AA
نین 1.0	N II N
نیٹ 1.0	N AE TT
جیسوں 1.0	D_ZZ AE S OON
ایمانی 1.0	II M AA N II
بالا 1.0	B AA L AA
اسکول 1.0	I S K UU L
آلات 1.0	AA L AA T_D
دردی 1.0	D_D A R D_D II
میٹنگز 1.0	M II TT I NG Z
ویدیگیرے 1.0	V II D_D II G II R AY
حلفیہ 1.0	H A L F I J AA
مامون 1.0	M AA M UU N
سوچی 1.0	S OO T_SH II
کالکی 1.0	K AA L K II
کریل 1.0	K A R AY L
اقامہ 1.0	A Q AA M AA
عمراکمل 1.0	U M R AA K A M A L
سٹیشن 1.0	S A TT AY SH A N
جلانے 1.0	D_ZZ A L AA N AY
خودانحصار 1.0	X U D_D I N H I S AA R
احتسا 1.0	I H T_D I S AA
اسکور 1.0	I S K OO R
بلاگ 1.0	B A L AA G
گھرانوں 1.0	G_H A R AA N OON
مشرا 1.0	M U SH R AA
صدام 1.0	S A D_D D_D AA M
بچینی 1.0	B A T_SH II N II
اپل 1.0	A P A L
بٹا 1.0	B A TT AA
نیر 1.0	N II R
کیریبئین 1.0	K AE R AY B A II N
انتہا 1.0	I N T_D I H AA
پلٹن 1.0	P A L TT A N
متاثر 1.0	M U T_D A A S S I R
ہولڈنگ 1.0	H OO L DD I NG
نیب 1.0	N II B
نیت 1.0	N II J A T_D
آرمر 1.0	AA R M A R
ملتانی 1.0	M U L T_D AA N II
انٹرنٹ 1.0	I N TT A R N A TT
فاقوں 1.0	F AA Q OON
عنفوان 1.0	U N F A V AA N
ناپا 1.0	N AA P AA
باسی 1.0	B AA S II
کاموسم 1.0	K AA M OO S A M
جونھی 1.0	D_ZZ UU N_H II
کمپیوٹروں 1.0	K A M P I J UU TT A R OON
اپک 1.0	A P A K
باقیوں 1.0	B AA Q II OON
کوریائی 1.0	K OO R J AA II
دشمنی 1.0	D_D U SH M A N II
داروں 1.0	D_D AA R OON
جگتیں 1.0	D_ZZ U G T_D IIN
دراندازوں 1.0	D_D A R A N D_D AA Z OON
دوائی 1.0	D_D A V AA II
گاڑھی 1.0	G AA RR_H II
پرآسائش 1.0	P U R AA S AA I SH
قائمہ 1.0	Q AA I M AA
پوزیشنز 1.0	P OO Z II SH A N Z
بمیاں 1.0	B A M I J AAN
دلوایا 1.0	D_D I L V AA J AA
بالک 1.0	B AA L I K
اڑتا 1.0	U RR T_D AA
بخت 1.0	B A X T_D
دیکھائے 1.0	D_D AY K_H AA AY
گلوکار 1.0	G U L UU K AA R
راشٹریہ 1.0	R AA SH TT A R J AA
لاٹھیوں 1.0	L AA TT_H II OON
ساٹھ 1.0	S AA TT_H
جانور 1.0	D_ZZ AA N V A R
ادائیگیاں 1.0	A D_D AA II G I J AAN
نشینل 1.0	N A SH II N A L
اورکیوں 1.0	O R K II OON
منتشر 1.0	M U N T_D A SH A R
موریا 1.0	M OO R I J AA
بالی 1.0	B AA L II
مشکلیں 1.0	M U SH K A L AYN
ملالہ 1.0	M U L L AA L AA
جوزف 1.0	D_ZZ OO Z I F
پھنے 1.0	P_H A N AY
وزیرخزانہ 1.0	V A Z II R AY X A Z AA N AA
سنبھالیں 1.0	S A M B_H AA L AYN
کالی 1.0	K AA L II
سبسکرپشن 1.0	S A B S K A R I P SH A N
ماہی 1.0	M AA H II
آوروں 1.0	AA V A R OON
ناؤمی 1.0	N AA UU M II
بھیدی 1.0	B_H AY D_D II
بھکتی 1.0	B_H A K T_D II
کراوڈ 1.0	K A R AA V A DD
اربن 1.0	A R B A N
دوصفرایکسات 1.0	D_D O S F A R AA K K AA T_D
لیلیانہ 1.0	L AY L J AA N AA
مورال 1.0	M OO R AA L
بندر 1.0	B A N D_D A R
ملاحوں 1.0	M U L L AA H OON
القومی 1.0	A L Q UU M II
غلیظ 1.0	7 A L II Z
امپیریل 1.0	I M P II R I J A L
سیاٹل 1.0	S AE J AA TT A L
برتری 1.0	B A R T_D A R II
نیک 1.0	N AY K
تقابل 1.0	T_D A Q AA B U L
امینن 1.0	A M II N A N
چوہانکے 1.0	T_SH O H AA N K AY
سوپور 1.0	S UU P UU R
امینو 1.0	A M II N OO
میرج 1.0	M AE R I D_ZZ
بوبان 1.0	B O B AA N
رانی 1.0	R AA N II
الشریف 1.0	A L SH A R II F
جوڑتے 1.0	D_ZZ OO RR T_D AY
توحید 1.0	T_D O H II D_D
آسٹریا 1.0	AA S TT A R I J AA
شہادت 1.0	SH A H AA D_D A T_D
آسامی 1.0	AA S AA M II
جوڑتی 1.0	D_ZZ OO RR T_D II
عالمگیر 1.0	AA L A M G II R
کرک 1.0	K U R K
ناموزوں 1.0	N AA M UU Z OON
مثانے 1.0	M A S AA N AY
جیکوسکی 1.0	D_ZZ AE K OO S K II
وارانہ 1.0	V AA R AA N AA
آبزرویٹریز 1.0	AA B Z A R V AY TT R II Z
چرخیوں 1.0	T_SH A R X II OON
رشاد 1.0	R I SH AA D_D
تحسین 1.0	T_D A H S II N
خورخے 1.0	X OO R X AY
اوردوایکویں 1.0	O R D_D A V AA II K V AYN
لاتعداد 1.0	L AA T_D AY A D_D AA D_D
یوروں 1.0	J O R OON
ویاگرا 1.0	V I J AA G A R AA
گریزمین 1.0	G I R AY Z M AE N
نواہو 1.0	N A V AA H OO
اتحادیوں 1.0	I T_D T_D I H AA D_D II OON
ائر 1.0	AY A R
پرنہیں 1.0	P A R A N H AYN
ابھارا 1.0	U B_H AA R AA
حکومتیں 1.0	H U K UU M A T_D AYN
بکسے 1.0	B A K S AY
ہانکتے 1.0	H AA N K T_D AY
نزاکت 1.0	N A Z AA K A T_D
پاکپتن 1.0	P AA K P A T_D A N
حدیدہ 1.0	H A D_D II D_D AA
دیکھتا 1.0	D_D AY K_H T_D AA
برنس 1.0	B A R A N S
برنز 1.0	B A R A N Z
جلا 1.0	D_ZZ A L L AA
میرن 1.0	M II R A N
نبھائے 1.0	N I B_H AA AY
چھیانوےچھ 1.0	T_SH I J AA N V AY T_SH
مولن 1.0	M OO L A N
کالا 1.0	K AA L AA
سینیٹری 1.0	S AE N AY TT R II
نیپرا 1.0	N AE P R AA
نند 1.0	N A N D_D
دوکانوں 1.0	D_D OO K AA N OON
برخاست 1.0	B A R X AA S T_D
بالفاظ 1.0	B I L F AA Z
اردن 1.0	A R D_D A N
اٹھائیے 1.0	U TT_H AA II AY
جسٹن 1.0	D_ZZ I S TT A N
لاپتہ 1.0	L AA P A T_D AA
سہرا 1.0	S A_Y_H H R AA
تناظر 1.0	T_D A N AA Z U R
الکاہل 1.0	A L K AA H A L
جلے 1.0	D_ZZ A L AY
رستہ 1.0	R A S T_D AA
جاپانیوں 1.0	D_ZZ AA P AA N II OON
طنز 1.0	T_D A N Z
پھرنے 1.0	P_H I R N AY
فرمانروا 1.0	F A R M AA N A R V AA
کاپیاں 1.0	K AA P I J AAN
